,0,1
0,12,6.890287289800935
1,13,7.823704672974213
2,12,8.11436629616224
3,12,8.235700286563425
4,13,7.421140305204036
5,11,7.66173552202881
6,12,8.052025710870426
7,11,8.36709984319732
8,11,8.23062917805464
9,12,7.370869207177273
10,13,7.612040358907573
11,13,8.523025905514698
12,11,8.113907271825198
13,11,8.432246787705377
14,12,8.257653939386984
15,9,7.887611593431285
16,13,8.380712967712189
17,9,7.544835352511033
18,12,8.177762832416025
19,10,8.002421750466766
20,11,9.177402703636442
21,12,7.521230318595362
22,11,8.095689215190577
23,9,7.716234416692683
24,9,7.883364878260737
25,13,8.246021733619585
26,12,8.097468403144525
27,12,6.878860893947432
28,14,7.990513435429302
29,12,7.455748825000025
30,11,7.886213596919175
31,14,7.653397734385252
32,14,8.014985328915872
33,11,8.131161504418975
34,11,9.199157923379998
35,13,8.28399862299649
36,9,7.616571986994582
37,13,8.47422141966325
38,9,9.113668742725071
39,13,7.93108558115501
40,14,7.486928318428739
41,13,8.295205191040703
42,12,6.768201522754377
43,12,6.710491842823969
44,11,8.394086702079019
45,12,7.105396704869194
46,11,8.367569963031006
47,12,7.511282430731122
48,11,8.111633810340193
49,12,7.204216810439704
50,12,7.496011526043113
51,12,6.715688321382733
52,11,8.527556186996184
53,11,8.174550898079605
54,12,8.251582498465247
55,7,8.492396352193229
56,9,7.549432402262643
57,13,7.462153663814083
58,10,8.288438983361711
59,10,7.87922729558761
60,10,7.93962397426408
61,11,8.537171142188047
62,12,8.184476553117724
63,11,8.631660499333105
64,11,8.520147625861792
65,12,7.132586789101915
66,10,9.265865587291515
67,13,7.747076528572275
68,12,6.737613498062717
69,14,7.660735912206396
70,11,8.253911064817745
71,12,6.9028941359064495
72,11,8.492477350199765
73,12,8.014346628556298
74,12,7.702581881871536
75,13,8.265814367421042
76,9,8.128963963272383
77,12,7.2804044616165635
78,12,6.920811508693599
79,9,9.052282358261209
80,9,7.633487946774956
81,12,7.111716001278871
82,10,7.320672722374618
83,12,7.075634176655009
84,12,8.174276483891274
85,9,7.090810495356855
86,7,8.556842207275132
87,12,7.28499324350545
88,9,7.597098415983609
89,10,7.557098544956956
90,13,8.40478374174361
91,9,9.238108505537033
92,11,6.975463815584961
93,13,7.874710746035243
94,10,7.583046890510497
95,9,9.105982926666401
96,14,7.819799613320579
97,14,7.857583843273732
98,11,7.135741330428731
99,10,7.578616026076778
100,12,7.253101173147406
101,12,7.132024020059764
102,12,7.055208088764689
103,12,7.23475556760959
104,11,7.164896348388323
105,13,7.541208790868357
106,11,7.224657012903273
107,11,6.056310780761351
108,12,7.0500276196579525
109,13,7.088037899361802
110,11,7.159037700776006
111,14,7.468935999710252
112,11,6.962002384314626
