,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Amboli,19.1293,72.8434,Merwans Cake shop,19.119300215885474,72.84541776016009,Bakery
1,Amboli,19.1293,72.8434,Jaffer Bhai's Delhi Darbar,19.137714056593047,72.84590930883026,Mughlai Restaurant
2,Amboli,19.1293,72.8434,Hard Rock Cafe Andheri,19.13599450781993,72.8353350383582,American Restaurant
3,Amboli,19.1293,72.8434,Joey's Pizza,19.126762155150107,72.83000121236746,Pizza Place
4,Amboli,19.1293,72.8434,Narayan Sandwich,19.121397691078766,72.85027035501028,Sandwich Place
5,Amboli,19.1293,72.8434,Pizza Express,19.131893498780688,72.83466849836763,Pizza Place
6,Amboli,19.1293,72.8434,Mainland China,19.14039064038241,72.8380325219362,Chinese Restaurant
7,Amboli,19.1293,72.8434,Indigo Delicatessen,19.1364504468811,72.82756504045669,Mediterranean Restaurant
8,Amboli,19.1293,72.8434,Bistro 1 Cafe,19.136656435439225,72.82913638330596,Café
9,Amboli,19.1293,72.8434,Shawarma Factory,19.124590572173467,72.8403981304492,Falafel Restaurant
10,Amboli,19.1293,72.8434,"5 Spice , Bandra",19.130421080343595,72.84720633881638,Chinese Restaurant
11,Amboli,19.1293,72.8434,Dakshinayan,19.112771842540127,72.82565306659686,Indian Restaurant
12,Amboli,19.1293,72.8434,Alfredos Bar & Diner,19.139471751527417,72.8315149191101,Diner
13,Amboli,19.1293,72.8434,015's Café,19.1342081469728,72.82610027343061,Comfort Food Restaurant
14,Amboli,19.1293,72.8434,Barbeque Nation,19.136210861270595,72.83345280721782,BBQ Joint
15,Amboli,19.1293,72.8434,Eden Bakery,19.142848081704912,72.82476443571024,Bakery
16,Amboli,19.1293,72.8434,Prithvi Cafe,19.106153210060764,72.82586610755753,Café
17,Amboli,19.1293,72.8434,The Calcutta Club,19.148738212949493,72.83143562237763,Bengali Restaurant
18,Amboli,19.1293,72.8434,Fareed Seekh Kebab,19.14333600769705,72.83794296972663,Indian Restaurant
19,Amboli,19.1293,72.8434,Pratap's The Dhaba,19.14887624830474,72.83209746279675,Indian Restaurant
20,Amboli,19.1293,72.8434,Tanjore Tiffin Room,19.128438,72.81715,South Indian Restaurant
21,Amboli,19.1293,72.8434,Shree Gangour Sweets,19.115077614539207,72.83436582858621,Indian Restaurant
22,Amboli,19.1293,72.8434,Mainland China,19.141313950168616,72.83256234609917,Chinese Restaurant
23,Amboli,19.1293,72.8434,Le15 Patisserie,19.15251493490186,72.83092221126502,Bakery
24,Amboli,19.1293,72.8434,Mad Over Donuts,19.14264386893489,72.82476738600698,Donut Shop
25,Amboli,19.1293,72.8434,Mahesh Lunch Home,19.10367993652122,72.82679442182634,Seafood Restaurant
26,Amboli,19.1293,72.8434,B'wiched,19.111256543078373,72.82661517207845,American Restaurant
27,Amboli,19.1293,72.8434,Radha Krishna Veg Restaurant,19.115130144160013,72.84305962889206,Indian Restaurant
28,Amboli,19.1293,72.8434,Anand Dosa,19.102981786665428,72.83686050799356,Breakfast Spot
29,Amboli,19.1293,72.8434,Gulati Sweets and Snacks,19.123231,72.864335,Indian Restaurant
30,Amboli,19.1293,72.8434,KFC,19.13526761679155,72.83293660965955,Fast Food Restaurant
31,Amboli,19.1293,72.8434,Khau galli,19.10038667062046,72.84267717056767,Food Truck
32,Amboli,19.1293,72.8434,The Chocolate Heaven,19.104219376484483,72.83675861374584,Café
33,Amboli,19.1293,72.8434,China Gate,19.140098188844455,72.83153912383088,Chinese Restaurant
34,Amboli,19.1293,72.8434,Tirupati Dosa Center,19.12826918546156,72.81685418152304,Indian Restaurant
35,Amboli,19.1293,72.8434,Lotus Café,19.101771937861287,72.82566422851737,Indian Restaurant
36,Amboli,19.1293,72.8434,Sammy Sosa,19.151204813237435,72.83175228577498,Mexican Restaurant
37,Amboli,19.1293,72.8434,Nandu Dosa,19.1165819791634,72.82704994833412,Diner
38,Amboli,19.1293,72.8434,Jam Jar Diner,19.132830122875927,72.81226821651121,Diner
39,Amboli,19.1293,72.8434,Gajalee,19.10382741461241,72.83102812899264,Seafood Restaurant
40,Amboli,19.1293,72.8434,The Good Food Co.,19.098453349622396,72.84576866155109,Café
41,Amboli,19.1293,72.8434,Arola @ JW Marriott,19.101647327380633,72.8254768604747,Spanish Restaurant
42,Amboli,19.1293,72.8434,Gajalee,19.10369200713705,72.85167550882265,Seafood Restaurant
43,Amboli,19.1293,72.8434,Babu Cha Vada,19.1033126238013,72.84857615037404,Snack Place
44,Amboli,19.1293,72.8434,Shabri Veg Restaurant,19.13615756813534,72.8271702616078,Indian Restaurant
45,Amboli,19.1293,72.8434,Peshawari,19.10395400387377,72.86987902868673,Indian Restaurant
46,Amboli,19.1293,72.8434,Indigo Deli,19.13642952061536,72.82755288854011,Italian Restaurant
47,Amboli,19.1293,72.8434,Tiwari Bros. Mithaiwala,19.115056269910802,72.8344956058685,Indian Restaurant
48,Amboli,19.1293,72.8434,Carter's Blue,19.139599362001828,72.83160179473985,Indian Restaurant
49,Amboli,19.1293,72.8434,"Peshawri Restaurant, Itc, Mumbai",19.10928336415873,72.8698912957299,Indian Restaurant
50,Amboli,19.1293,72.8434,Jacky Bhel Puri,19.11363278970635,72.83470196944536,Indian Restaurant
51,Amboli,19.1293,72.8434,Me Marathi,19.102417701434753,72.84654118690055,Maharashtrian Restaurant
52,Amboli,19.1293,72.8434,Di Bella,19.125454233244547,72.8223460003714,Café
53,Amboli,19.1293,72.8434,Subway,19.14125035277429,72.83141864411192,Deli / Bodega
54,Amboli,19.1293,72.8434,Olio,19.108843595181746,72.82392931219455,Italian Restaurant
55,Amboli,19.1293,72.8434,Barrio,19.136511404003564,72.81014070132593,Restaurant
56,Amboli,19.1293,72.8434,Quesso Risorante,19.14877199833972,72.83138134685903,Italian Restaurant
57,Amboli,19.1293,72.8434,Maharaja Restaurant,19.116154809545993,72.85581626501495,Indian Restaurant
58,Amboli,19.1293,72.8434,Guru Da Dhaba,19.141420469632642,72.8251707630685,Vegetarian / Vegan Restaurant
59,Amboli,19.1293,72.8434,Lemon Leaf,19.139779387111414,72.82936873216538,Asian Restaurant
60,Amboli,19.1293,72.8434,Delicacy of China,19.142327952964017,72.82932573085064,Chinese Restaurant
61,Amboli,19.1293,72.8434,Mad Over Donuts,19.125533442429646,72.82228098165848,Donut Shop
62,Amboli,19.1293,72.8434,The Coffee Bean & Tea Leaf,19.11062745905693,72.82528211526264,Café
63,Amboli,19.1293,72.8434,Urban Tadka,19.12701051542414,72.82183256427811,Indian Restaurant
64,Amboli,19.1293,72.8434,Debonairs Pizza,19.12555705959572,72.82244078771572,Pizza Place
65,Amboli,19.1293,72.8434,Glass House @ Hyatt Hotel,19.10368684595821,72.87161592088513,Restaurant
66,Amboli,19.1293,72.8434,The House,19.13101420194339,72.8139107478365,Café
67,Amboli,19.1293,72.8434,Gajalee Coastal Food Annexure,19.117567194128657,72.86748485224203,Seafood Restaurant
68,Amboli,19.1293,72.8434,Shanghai,19.104778659219615,72.84852180117035,Chinese Restaurant
69,Amboli,19.1293,72.8434,Lucky Sandwich,19.10027443707427,72.8425053618019,Sandwich Place
70,Amboli,19.1293,72.8434,Bru World Cafe,19.15104866766351,72.83570650463186,Café
71,Amboli,19.1293,72.8434,Basil The Italian Cafe,19.109424253865374,72.85322394388633,Café
72,Amboli,19.1293,72.8434,Banana Leaf,19.12515498243111,72.82258041206991,Vegetarian / Vegan Restaurant
73,Amboli,19.1293,72.8434,Facing East,19.110120035881774,72.82745431250346,Chinese Restaurant
74,Amboli,19.1293,72.8434,Chilly & Onion restaurant,19.131109687937652,72.86912325869923,Asian Restaurant
75,Amboli,19.1293,72.8434,Bombay Baking Company,19.101835704267714,72.82592211594061,Bakery
76,Amboli,19.1293,72.8434,Yogos Frozen Yogurt Cafe,19.1464995536633,72.82353376496837,Café
77,Amboli,19.1293,72.8434,Citrus Café,19.10914485064099,72.8741480606626,Indian Restaurant
78,Amboli,19.1293,72.8434,King chilly,19.11065238563932,72.85296431874953,Chinese Restaurant
79,Amboli,19.1293,72.8434,Leaping Windows Cafe,19.13877514639195,72.81348180517033,Café
80,Amboli,19.1293,72.8434,Maroosh,19.15137046934379,72.83157736657749,Middle Eastern Restaurant
81,Amboli,19.1293,72.8434,Pan Asian,19.104424065333735,72.86975055081648,Asian Restaurant
82,Amboli,19.1293,72.8434,Vasu Sandwitch,19.157016613722135,72.84606972745243,Sandwich Place
83,Amboli,19.1293,72.8434,Harish: Restaurant & Bar,19.10851908963802,72.8403827444371,Seafood Restaurant
84,Amboli,19.1293,72.8434,noodle bar,19.110671412524386,72.82543094240283,Asian Restaurant
