,0,1,2
61,"[19.075944516666667, 72.86265911666666]",[0.95385426],"[[13, 6.7218895869229005, 562606.6923076923]]"
62,"[19.100653993333335, 72.85022789333333]",[0.93631461],"[[12, 6.685217380833142, 587476.5833333333]]"
63,"[19.074964583333333, 72.85649513333333]",[0.97733519],"[[13, 6.513083075384298, 562606.6923076923]]"
64,"[19.062643956666665, 72.86396648333333]",[0.96016957],"[[13, 6.664137766922846, 562606.6923076923]]"
65,"[19.0749302, 72.85891505]",[0.97022589],"[[13, 6.574776590768946, 562606.6923076923]]"
66,"[19.099639676666666, 72.84648382666667]",[0.93904144],"[[12, 6.6653560274998656, 587476.5833333333]]"
67,"[19.051321206666668, 72.87312218333334]",[0.90073517],"[[12, 6.674588514166803, 573003.0833333333]]"
68,"[19.088316926666668, 72.85563952666666]",[0.94006361],"[[13, 6.853738062307526, 562606.6923076923]]"
69,"[19.05128682333333, 72.8755421]",[0.89015733],"[[12, 6.76539761416694, 573003.0833333333]]"
70,"[19.0759963, 72.86311087666667]",[0.95173357],"[[13, 6.741618413846158, 562606.6923076923]]"
71,"[19.088282543333335, 72.85805944333333]",[1.00215935],"[[11, 5.873689151818094, 587257.4545454546]]"
72,"[19.03903225666667, 72.8528507]",[0.89985111],"[[14, 6.9736514842856625, 499500.2857142858]]"
73,"[19.040608523333336, 72.8543976]",[0.89459269],"[[14, 7.022244641428219, 499500.2857142858]]"
74,"[19.038681023333336, 72.8487646]",[0.92144111],"[[14, 6.787548619999566, 499500.2857142858]]"
75,"[19.070941316666666, 72.8473324]",[1.00498653],"[[13, 6.277966575384531, 562606.6923076923]]"
76,"[19.05862069, 72.85480375]",[0.99399608],"[[13, 6.3712214607691555, 562606.6923076923]]"
77,"[19.070906933333333, 72.84975231666667]",[1.00172622],"[[13, 6.3057171446152696, 562606.6923076923]]"
78,"[19.04729794, 72.86395945]",[0.88094786],"[[13, 6.943918532307514, 539743.923076923]]"
79,"[19.047263556666667, 72.86637936666666]",[0.91359731],"[[12, 6.575237347499904, 573003.0833333333]]"
80,"[19.085162133333334, 72.85988216666667]",[0.95963905],"[[12, 6.347809694166511, 576480.3333333333]]"
81,"[19.072841506666666, 72.86735351666667]",[0.935859],"[[13, 6.8958094246154324, 562606.6923076923]]"
82,"[19.08512775, 72.86230208333333]",[1.00399047],"[[11, 5.864073793636391, 587257.4545454546]]"
83,"[19.109837226666667, 72.84987086]",[0.87039458],"[[12, 6.829217279999683, 619371.1666666666]]"
84,"[19.08414781666667, 72.8561381]",[0.95748428],"[[13, 6.6885202830767305, 562606.6923076923]]"
85,"[19.07182719, 72.86360945]",[0.95327014],"[[13, 6.72730587461531, 562606.6923076923]]"
86,"[19.084113433333332, 72.85855801666666]",[0.95094089],"[[13, 6.7490394753843335, 562606.6923076923]]"
87,"[19.06050444, 72.87276515]",[0.92465162],"[[12, 6.496889477500243, 573003.0833333333]]"
88,"[19.09750016, 72.85528249333333]",[0.95514712],"[[11, 6.124709597272583, 587257.4545454546]]"
89,"[19.081070306666668, 72.87317296666667]",[0.96502879],"[[11, 6.070747788182019, 587257.4545454546]]"
90,"[19.09335655, 72.86812153333334]",[0.92631578],"[[11, 6.289352634545538, 587257.4545454546]]"
91,"[19.118066026666668, 72.85569031000001]",[0.79064294],"[[13, 7.475246131538736, 624898.6153846154]]"
92,"[19.06047005666667, 72.87518506666667]",[0.91208305],"[[12, 6.586426394166946, 573003.0833333333]]"
93,"[19.085179533333335, 72.86275384333334]",[1.00108758],"[[11, 5.87931742363652, 587257.4545454546]]"
94,"[19.097465776666667, 72.85770241]",[0.95092375],"[[11, 6.148087879090799, 587257.4545454546]]"
95,"[19.0867384, 72.86142906666666]",[0.99973828],"[[11, 5.886403966363448, 587257.4545454546]]"
96,"[19.074417773333334, 72.86890041666666]",[0.92817824],"[[13, 6.975309047692102, 562606.6923076923]]"
97,"[19.08670401666667, 72.86384898333333]",[0.98602193],"[[11, 5.958620566363503, 587257.4545454546]]"
98,"[19.111413493333334, 72.85141775999999]",[0.86603688],"[[12, 6.886452579999458, 619371.1666666666]]"
99,"[19.085724083333332, 72.85768499999999]",[0.94604881],"[[13, 6.795439183076458, 562606.6923076923]]"
100,"[19.0856897, 72.86010491666666]",[0.95578345],"[[12, 6.3714505358329845, 576480.3333333333]]"
101,"[19.062080706666666, 72.87431205]",[0.91380643],"[[12, 6.573701600833347, 573003.0833333333]]"
102,"[19.099076426666667, 72.85682939333334]",[0.94379786],"[[11, 6.188037115454505, 587257.4545454546]]"
103,"[19.08264657333333, 72.87471986666667]",[0.9479136],"[[11, 6.164881977272653, 587257.4545454546]]"
