,Venue,Venue Latitude,Venue Longitude,Venue Category
4815,The Pantry,18.928774696503215,72.83225647688218,Deli / Bodega
4816,Status,18.924562,72.821526,Indian Restaurant
4818,Khyber Restaurant,18.928133650077747,72.83154069845135,Indian Restaurant
4819,Sahakari Bhandar Restaurant,18.924767018432732,72.83195134644758,Indian Restaurant
4820,Souk,18.922433917282156,72.83393382078587,Mediterranean Restaurant
4822,Frangipani,18.927909526385957,72.8206791347405,Mediterranean Restaurant
4824,Indigo Delicatessen,18.92394621260998,72.83334800763832,Breakfast Spot
4825,Pa Pa Ya (Colaba),18.921456,72.832337,Asian Restaurant
4832,HQ (Headquarters),18.925159164472962,72.83203644554656,Café
4837,La Patisserie,18.922033034140203,72.83312813842655,Bakery
5143,Konkan Cafe,18.914361295310027,72.82105900117253,Indian Restaurant
5243,210°Veg Gourmet Bakery,18.96182828788107,72.80213713645935,Bakery
5244,Tulips Ristorante,18.964929029677727,72.80413744820792,Café
5245,Sun Veg Restaurant,18.966977532379673,72.80405511778963,Indian Restaurant
5246,Intercontinental Paanwala,18.94610534071887,72.80039895568976,Food Truck
5247,Rahul's Food Court,18.948477321731232,72.79778066933812,Fast Food Restaurant
5301,Rajesh Frankie,18.968583878022176,72.80323234939749,Fast Food Restaurant
5302,Howra,18.96627155517114,72.80405177692147,Café
5303,Ministry of Salads,18.966871512996093,72.80357335714056,Salad Place
5304,Mafco,18.96592115473257,72.8036624619496,Fast Food Restaurant
5305,Mafco Farm Fair ¤,18.965941974972885,72.80364103301606,Chinese Restaurant
5306,Plate & Pint French Ristorante,18.965628,72.803645,French Restaurant
5307,Delifresh,18.964983862636554,72.80399322509766,Bakery
5308,Tart,18.963941946381343,72.80344009184546,Bakery
5365,Sassanian,18.94275386041039,72.82697469313133,Bakery
5368,5 Spice,18.94354017123391,72.82515882110566,Chinese Restaurant
5369,Cafe Coffee Day,18.945178672797674,72.82633445786236,Café
5370,Say Cheese,18.95423508702571,72.81819872937999,Fast Food Restaurant
5371,Little Italy's La Pizzeria,18.94302621797815,72.82502126474827,Italian Restaurant
5372,Sadanand Hotel,18.947969997648123,72.83409430977179,Indian Restaurant
5373,Cannon Pav Bhaji,18.95280431168919,72.80507317218883,Food Truck
5374,Domino's Pizza,18.953,72.817,Pizza Place
5375,Jaffer Bhai's Delhi Darbar,18.94267349916182,72.82695413991853,Indian Restaurant
5376,Saffron Bay,18.954689528471008,72.8147964113239,Restaurant
5377,Subway,18.94771135598101,72.83386249089212,American Restaurant
5378,Asian Street Kitchen,18.954779698769368,72.81445063372826,Asian Restaurant
5379,Thacker's,18.954042099856974,72.81487053191732,Indian Restaurant
5380,Golden Star Thali,18.952892141007037,72.81754087807279,Indian Restaurant
5381,Bawarchi,18.946074577323962,72.83173758350135,Indian Restaurant
5382,Hotel Geeta Bhavan,18.945818299201616,72.82830393502596,Indian Restaurant
5383,Cafe Coffee Day,18.95403097099501,72.81639479413897,Café
5384,Revival Restaurant Banquet Bar,18.95464540730437,72.81471947325515,Multicuisine Indian Restaurant
5385,Prahlad Pattuce Centre,18.942594485684406,72.8284659977074,Food Truck
5387,Snowflake Goan restraunt,18.943899162565117,72.82858139830525,Portuguese Restaurant
5388,Sandwichwala,18.94298763631081,72.83107403790068,Sandwich Place
5390,Hotel Madras Bhavan,18.946648435034493,72.82889297964431,Indian Restaurant
5391,Kamat Hotel,18.946114259780725,72.8314086959075,Indian Restaurant
5392,Jamnagari Farsan Mart,18.94805,72.831698,Fast Food Restaurant
5393,Cafe Firdos,18.948092075028995,72.83412633271607,Indian Restaurant
5590,Di Bella,19.03580648293794,72.841338597692,Café
5794,Khana Khazana,18.955355920891826,72.86647599551891,Indian Restaurant
5795,The Sun,18.954980432564653,72.79852347345025,Vegetarian / Vegan Restaurant
5796,Santosh sagar,18.955049882180525,72.79769825673128,Indian Restaurant
5899,Ideal Corner,18.934961470035777,72.83405011234707,Indian Restaurant
6065,Bombay Brasserie,18.988419493554034,72.8146925449413,Indian Restaurant
6070,Palladium Social,18.994529545544754,72.82421887155638,Café
6076,Crystal Lower Parel,18.997512766868187,72.82698474374982,Vegetarian / Vegan Restaurant
6080,Masque Restaurant,18.989762,72.825681,Modern European Restaurant
6081,Seven Kitchens,18.993868526633054,72.82421183865341,Restaurant
6082,Pallette,19.00309388457025,72.82850699989027,Deli / Bodega
6084,The Coffee Bean & Tea Leaf,18.994979,72.825147,Café
6085,Maroosh,18.995143051981316,72.82499602722956,Middle Eastern Restaurant
6088,Mi Maratha,18.998910125987525,72.82424926757812,Indian Restaurant
6090,Kathi Kabab Rolls,18.996509032528724,72.82667286182631,Fast Food Restaurant
6091,London Taxi,19.00334,72.82792,Molecular Gastronomy Restaurant
6092,Jamie's Pizzeria by Jamie Oliver,18.994821890540624,72.82416343688965,Pizza Place
6094,Aqaba,18.99851677013179,72.83032317135715,Mediterranean Restaurant
